id,regiao,uf_regiao,cidade,sexo,faixa_etaria,data_abertura,data_resposta,data_finalizacao,prazo_resposta,sigla,nome_fantasia,problema,local_compra,situacao,avaliacao_reclamacao,nota_consumidor
1,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-01,2021-12-07,2021-12-19,2021-12-11,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Não Resolvida,2
2,CO,DF,Brasília,M,entre 51 a 60 anos,2021-10-01,2021-10-05,2021-10-25,2021-10-11,X19,TAP Air Portugal,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Telefone,Finalizada avaliada,Não Resolvida,1
3,NE,RN,Natal,M,entre 41 a 50 anos,2021-12-01,2021-12-01,2021-12-01,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
4,NE,SE,Aracaju,F,entre 31 a 40 anos,2021-10-01,2021-10-08,2021-10-26,2021-10-11,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Loja física,Finalizada avaliada,Resolvida,5
5,CO,MS,Campo Grande,M,entre 41 a 50 anos,2021-10-01,2021-10-07,2021-10-07,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Resolvida,4
6,S,RS,Pelotas,F,até 20 anos,2021-12-01,2021-12-02,2021-12-23,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7,CO,DF,Brasília,F,entre 51 a 60 anos,2021-12-01,2021-12-07,2021-12-22,2021-12-11,GLO,Gol Linhas Aéreas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada avaliada,Resolvida,1
8,CO,DF,Brasília,M,entre 51 a 60 anos,2021-10-01,2021-10-05,2021-10-23,2021-10-11,X19,TAP Air Portugal,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,3
9,NE,MA,São Luís,M,entre 21 a 30 anos,2021-12-01,2021-12-07,2021-12-27,2021-12-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Resolvida,5
10,NE,PI,Parnaíba,F,entre 41 a 50 anos,2021-12-01,2021-12-06,2021-12-27,2021-12-11,X19,TAP Air Portugal,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
11,NE,SE,Aracaju,M,entre 41 a 50 anos,2021-12-01,2021-12-09,2021-12-29,2021-12-11,X04,Air Europa,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Não Resolvida,1
12,NE,MA,São Luís,M,entre 51 a 60 anos,2021-10-01,2021-10-07,2021-10-20,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
13,N,PA,Santarém,M,entre 31 a 40 anos,2021-12-01,2021-12-02,2021-12-04,2021-12-11,AZU,Azul Linhas Aéreas,Falta de acessibilidade ao idoso ou à pessoa com deficiência,Internet,Finalizada avaliada,Resolvida,5
14,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-01,2021-12-07,2021-12-21,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
15,NE,AL,Maceió,M,entre 31 a 40 anos,2021-12-01,2021-12-09,2021-12-27,2021-12-11,IPM,Itapemirim Transportes Aéreos,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
16,S,RS,Pelotas,F,entre 31 a 40 anos,2021-10-01,2021-10-08,2021-10-29,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
17,CO,DF,Brasília,F,entre 21 a 30 anos,2021-12-01,2021-12-09,2021-12-30,2021-12-11,IPM,Itapemirim Transportes Aéreos,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
18,S,RS,Novo Hamburgo,M,entre 41 a 50 anos,2021-10-01,2021-10-05,2021-10-09,2021-10-11,X19,TAP Air Portugal,"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,Finalizada avaliada,Não Resolvida,3
19,N,AM,Atalaia do Norte,F,entre 31 a 40 anos,2021-12-01,2021-12-07,2021-12-28,2021-12-11,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
20,N,AM,Manaus,M,entre 51 a 60 anos,2021-12-01,2021-12-06,2021-12-23,2021-12-11,GLO,Gol Linhas Aéreas,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Internet,Finalizada avaliada,Resolvida,3
21,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,IPM,Itapemirim Transportes Aéreos,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
22,S,RS,Santa Maria,M,entre 61 a 70 anos,2021-12-01,2021-12-08,2021-12-29,2021-12-11,TAM,Latam Airlines (Tam),Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Não comprei / contratei,Finalizada não avaliada,Não Avaliada,0
23,NE,SE,Nossa Senhora do Socorro,F,entre 21 a 30 anos,2021-12-01,2021-12-10,2021-12-28,2021-12-11,TAM,Latam Airlines (Tam),Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,Finalizada avaliada,Não Resolvida,1
24,N,TO,Gurupi,M,entre 51 a 60 anos,2021-10-01,2021-10-08,2021-10-29,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
25,N,PA,Belém,F,entre 51 a 60 anos,2021-12-01,2021-12-10,2021-12-15,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade de contato / demora no atendimento,Internet,Finalizada avaliada,Não Resolvida,1
26,CO,DF,Brasília,M,entre 41 a 50 anos,2021-10-01,2021-10-05,2021-10-13,2021-10-11,AZU,Azul Linhas Aéreas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada avaliada,Resolvida,5
27,N,PA,Ananindeua,M,entre 51 a 60 anos,2021-12-01,2021-12-03,2021-12-06,2021-12-11,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Resolvida,5
28,CO,DF,Brasília,M,entre 41 a 50 anos,2021-10-01,2021-10-08,2021-10-26,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,2
29,CO,DF,Brasília,M,entre 21 a 30 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
30,CO,DF,Brasília,F,entre 21 a 30 anos,2021-10-01,2021-10-04,2021-10-22,2021-10-11,AZU,Azul Linhas Aéreas,Dificuldade para contratar / recusa injustificada,Internet,Finalizada avaliada,Resolvida,4
31,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade de acesso a dados pessoais ou financeiros,Internet,Finalizada não avaliada,Não Avaliada,0
32,NE,MA,São Luís,M,entre 21 a 30 anos,2021-12-01,2021-12-09,2021-12-30,2021-12-11,AZU,Azul Linhas Aéreas,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
33,CO,DF,Brasília,M,entre 61 a 70 anos,2021-10-01,2021-10-08,2021-10-19,2021-10-11,GLO,Gol Linhas Aéreas,Cancelamento indevido da passagem de volta,Internet,Finalizada avaliada,Não Resolvida,3
34,S,RS,Pelotas,F,entre 21 a 30 anos,2021-12-01,2021-12-09,2021-12-11,2021-12-11,AZU,Azul Linhas Aéreas,Atraso de voo,Internet,Finalizada avaliada,Resolvida,5
35,N,AM,Manaus,F,entre 41 a 50 anos,2021-10-01,2021-10-04,2021-10-04,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,4
36,CO,DF,Brasília,F,entre 31 a 40 anos,2021-10-01,2021-10-08,2021-10-29,2021-10-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
37,CO,DF,Brasília,M,entre 51 a 60 anos,2021-12-01,2021-12-10,2021-12-28,2021-12-11,IPM,Itapemirim Transportes Aéreos,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
38,N,TO,Palmas,M,entre 21 a 30 anos,2021-12-01,2021-12-08,2021-12-30,2021-12-11,GLO,Gol Linhas Aéreas,SAC - Dificuldade para cancelar o serviço,Internet,Finalizada não avaliada,Não Avaliada,0
39,NE,PI,Teresina,M,entre 41 a 50 anos,2021-10-01,2021-10-08,2021-10-09,2021-10-11,GLO,Gol Linhas Aéreas,"Dificuldade para contratar o serviço (problema operacionais, acesso aos canais de venda etc)",Internet,Finalizada avaliada,Não Resolvida,1
40,N,PA,Santarém,F,entre 61 a 70 anos,2021-10-01,2021-10-07,2021-10-28,2021-10-11,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada não avaliada,Não Avaliada,0
41,NE,AL,Maceió,F,entre 41 a 50 anos,2021-12-01,2021-12-08,2021-12-29,2021-12-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
42,NE,RN,Natal,F,entre 21 a 30 anos,2021-12-01,2021-12-07,2021-12-28,2021-12-11,TAM,Latam Airlines (Tam),SAC - Dificuldadede de contato / acesso,Internet,Finalizada não avaliada,Não Avaliada,0
43,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-01,2021-12-06,2021-12-08,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
44,CO,DF,Brasília,M,entre 31 a 40 anos,2021-10-01,2021-10-08,2021-10-18,2021-10-11,TAM,Latam Airlines (Tam),"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,Finalizada avaliada,Resolvida,3
45,CO,DF,Brasília,F,entre 41 a 50 anos,2021-10-01,2021-10-08,2021-10-27,2021-10-11,GLO,Gol Linhas Aéreas,"Falta de acesso a comunicação, alimentação, acomodação e/ou traslado em caso de atraso, cancelamento ou interrupção de voo",Internet,Finalizada avaliada,Não Resolvida,1
46,N,PA,Ananindeua,M,entre 31 a 40 anos,2021-12-01,2021-12-07,2021-12-28,2021-12-11,GLO,Gol Linhas Aéreas,"Dificuldade para contratar o serviço (problema operacionais, acesso aos canais de venda etc)",Internet,Finalizada não avaliada,Não Avaliada,0
47,CO,DF,Brasília,F,entre 41 a 50 anos,2021-10-01,2021-10-08,2021-10-09,2021-10-11,TAM,Latam Airlines (Tam),"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,Finalizada avaliada,Não Resolvida,1
48,S,RS,Porto Alegre,M,entre 31 a 40 anos,2021-12-01,2021-12-08,2021-12-29,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
49,S,RS,Santa Cruz do Sul,F,entre 31 a 40 anos,2021-10-01,2021-10-08,2021-10-26,2021-10-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
50,N,PA,Mãe do Rio,M,entre 31 a 40 anos,2021-12-01,2021-12-08,2021-12-29,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade de contato / demora no atendimento,Internet,Finalizada não avaliada,Não Avaliada,0
51,CO,DF,Brasília,M,entre 21 a 30 anos,2021-12-01,2021-12-08,2021-12-23,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
52,CO,MS,Campo Grande,F,entre 61 a 70 anos,2021-12-01,2021-12-08,2021-12-09,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
53,S,RS,Porto Alegre,F,entre 31 a 40 anos,2021-12-01,2021-12-01,2021-12-22,2021-12-11,AZU,Azul Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
54,CO,DF,Brasília,M,entre 21 a 30 anos,2021-10-01,2021-10-01,2021-10-19,2021-10-11,IPM,Itapemirim Transportes Aéreos,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada avaliada,Não Resolvida,1
55,CO,DF,Brasília,M,entre 31 a 40 anos,2021-10-01,2021-10-05,2021-10-23,2021-10-11,X19,TAP Air Portugal,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
56,NE,SE,Itabaiana,F,entre 21 a 30 anos,2021-12-01,2021-12-09,2021-12-09,2021-12-11,AZU,Azul Linhas Aéreas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada avaliada,Não Resolvida,1
57,CO,DF,Brasília,M,entre 21 a 30 anos,2021-12-01,2021-12-08,2021-12-29,2021-12-11,GLO,Gol Linhas Aéreas,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada não avaliada,Não Avaliada,0
58,CO,DF,Brasília,M,entre 41 a 50 anos,2021-10-01,2021-10-08,2021-10-21,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Resolvida,5
59,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-01,2021-12-07,2021-12-08,2021-12-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Resolvida,5
60,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-01,2021-12-10,2021-12-28,2021-12-11,IPM,Itapemirim Transportes Aéreos,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
61,CO,MS,Campo Grande,F,entre 21 a 30 anos,2021-10-01,2021-10-09,2021-10-10,2021-10-11,X06,Alitalia,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Loja física,Finalizada avaliada,Não Resolvida,1
62,N,AP,Macapá,M,entre 31 a 40 anos,2021-10-01,2021-10-05,2021-10-25,2021-10-11,X19,TAP Air Portugal,Dificuldade para alterar ou cancelar o contrato /serviço,Internet,Finalizada avaliada,Não Resolvida,1
63,N,PA,Marabá,M,entre 21 a 30 anos,2021-12-01,2021-12-07,2021-12-25,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Não Resolvida,1
64,CO,MS,Campo Grande,M,entre 41 a 50 anos,2021-10-01,2021-10-05,2021-10-23,2021-10-11,X19,TAP Air Portugal,Dificuldade de contato / demora no atendimento,Internet,Finalizada avaliada,Não Resolvida,1
65,CO,MS,Dourados,F,entre 51 a 60 anos,2021-12-01,2021-12-07,2021-12-11,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
66,N,PA,Belém,F,entre 61 a 70 anos,2021-12-01,2021-12-07,2021-12-09,2021-12-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
67,CO,DF,Brasília,M,entre 21 a 30 anos,2021-10-01,2021-10-08,2021-10-29,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
68,N,TO,Gurupi,F,entre 21 a 30 anos,2021-12-01,2021-12-03,2021-12-24,2021-12-11,TAM,Latam Airlines (Tam),Interrupção/instabilidade do fornecimento,Internet,Finalizada não avaliada,Não Avaliada,0
69,N,PA,Belém,F,entre 41 a 50 anos,2021-12-01,2021-12-08,2021-12-08,2021-12-11,AZU,Azul Linhas Aéreas,SAC - Descortesia / despreparo / demora,Internet,Finalizada avaliada,Resolvida,5
70,CO,DF,Brasília,F,entre 41 a 50 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
71,S,RS,Porto Alegre,M,entre 51 a 60 anos,2021-12-01,2021-12-10,2021-12-26,2021-12-11,TAM,Latam Airlines (Tam),SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Não Resolvida,2
72,CO,DF,Brasília,F,entre 41 a 50 anos,2021-12-01,2021-12-09,2021-12-30,2021-12-11,AZU,Azul Linhas Aéreas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada não avaliada,Não Avaliada,0
73,NE,PI,Teresina,F,entre 51 a 60 anos,2021-12-01,2021-12-07,2021-12-28,2021-12-11,TAM,Latam Airlines (Tam),Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação,Internet,Finalizada não avaliada,Não Avaliada,0
74,CO,DF,Brasília,M,entre 31 a 40 anos,2021-10-01,2021-10-04,2021-10-25,2021-10-11,TAM,Latam Airlines (Tam),"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Não comprei / contratei,Finalizada não avaliada,Não Avaliada,0
75,NE,RN,Currais Novos,M,entre 21 a 30 anos,2021-12-01,2021-12-06,2021-12-27,2021-12-11,TAM,Latam Airlines (Tam),Informações incompletas / inadequadas sobre o serviço,Telefone,Finalizada não avaliada,Não Avaliada,0
76,NE,RN,Natal,F,entre 61 a 70 anos,2021-10-01,2021-10-07,2021-10-25,2021-10-11,TAM,Latam Airlines (Tam),Alteração / rescisão de contrato sem solicitação / aviso prévio,Internet,Finalizada avaliada,Não Resolvida,1
77,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-01,2021-12-10,2022-01-01,2021-12-11,X10,Copa Airlines,"Dificuldade para contratar o serviço (problema operacionais, acesso aos canais de venda etc)",Internet,Finalizada não avaliada,Não Avaliada,0
78,S,RS,Eldorado do Sul,F,entre 51 a 60 anos,2021-10-01,2021-10-11,2021-10-29,2021-10-11,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Não Resolvida,3
79,CO,DF,Brasília,M,até 20 anos,2021-12-01,2021-12-02,2021-12-23,2021-12-11,TAM,Latam Airlines (Tam),Não entrega / demora na entrega do produto,Internet,Finalizada não avaliada,Não Avaliada,0
80,NE,AL,Maceió,M,entre 21 a 30 anos,2021-10-01,2021-10-05,2021-10-25,2021-10-11,X19,TAP Air Portugal,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
81,NE,RN,Parnamirim,F,entre 31 a 40 anos,2021-12-01,2021-12-07,2021-12-28,2021-12-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
82,N,AM,Manaus,F,entre 61 a 70 anos,2021-12-01,2021-12-02,2021-12-20,2021-12-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Resolvida,2
83,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-01,2021-12-02,2021-12-20,2021-12-11,TAM,Latam Airlines (Tam),Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação,Não comprei / contratei,Finalizada avaliada,Resolvida,5
84,NE,AL,Maceió,F,entre 31 a 40 anos,2021-10-01,2021-10-11,2021-10-15,2021-10-11,X14,Iberia Lineas Aereas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
85,N,PA,Belém,F,entre 41 a 50 anos,2021-10-01,2021-10-05,2021-10-05,2021-10-11,AZU,Azul Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Resolvida,5
86,CO,DF,Brasília,M,entre 21 a 30 anos,2021-12-01,2021-12-07,2021-12-28,2021-12-11,TAM,Latam Airlines (Tam),Não entrega / demora na entrega do produto,Internet,Finalizada não avaliada,Não Avaliada,0
87,CO,DF,Brasília,F,entre 51 a 60 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,X19,TAP Air Portugal,Dificuldade de contato / demora no atendimento,Internet,Finalizada não avaliada,Não Avaliada,0
88,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-01,2021-12-09,2021-12-30,2021-12-11,AZU,Azul Linhas Aéreas,Atraso de voo,Internet,Finalizada não avaliada,Não Avaliada,0
89,CO,MS,Campo Grande,F,entre 41 a 50 anos,2021-10-01,2021-10-08,2021-10-27,2021-10-11,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Não Resolvida,2
90,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
91,NE,MA,São Luís,M,entre 31 a 40 anos,2021-10-01,2021-10-04,2021-10-04,2021-10-11,TAM,Latam Airlines (Tam),Cancelamento indevido da passagem de volta,Internet,Finalizada avaliada,Resolvida,4
92,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-01,2021-12-10,2021-12-28,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,2
93,N,PA,Belém,F,entre 31 a 40 anos,2021-10-01,2021-10-05,2021-10-25,2021-10-11,X19,TAP Air Portugal,SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Não Resolvida,1
94,CO,DF,Brasília,F,entre 31 a 40 anos,2021-10-01,2021-10-03,2021-10-24,2021-10-11,TAM,Latam Airlines (Tam),Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
95,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-01,2021-12-07,2021-12-07,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
96,NE,MA,Sítio Novo,F,entre 51 a 60 anos,2021-12-01,2021-12-09,2021-12-30,2021-12-11,AZU,Azul Linhas Aéreas,Cancelamento indevido da passagem de volta,Internet,Finalizada não avaliada,Não Avaliada,0
97,CO,DF,Brasília,F,entre 61 a 70 anos,2021-10-01,2021-10-07,2021-10-27,2021-10-11,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
98,CO,DF,Brasília,F,entre 21 a 30 anos,2021-12-01,2021-12-06,2021-12-24,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
99,S,RS,Porto Alegre,M,entre 41 a 50 anos,2021-10-01,2021-10-05,2021-10-05,2021-10-11,X19,TAP Air Portugal,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
100,S,RS,Porto Alegre,M,entre 31 a 40 anos,2021-12-01,2021-12-07,2021-12-25,2021-12-11,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
101,NE,MA,São Luís,F,entre 41 a 50 anos,2021-12-01,2021-12-10,2021-12-10,2021-12-11,TAM,Latam Airlines (Tam),Serviço não realizado no prazo ou incompleto,Internet,Finalizada avaliada,Não Resolvida,4
102,CO,DF,Brasília,F,entre 51 a 60 anos,2021-12-01,2021-12-07,2021-12-28,2021-12-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada não avaliada,Não Avaliada,0
103,NE,AL,Maceió,F,entre 21 a 30 anos,2021-12-01,2021-12-07,2021-12-28,2021-12-11,GLO,Gol Linhas Aéreas,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada não avaliada,Não Avaliada,0
104,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-01,2021-12-10,2021-12-13,2021-12-11,TAM,Latam Airlines (Tam),Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Internet,Finalizada avaliada,Não Resolvida,1
105,S,RS,Passo Fundo,F,entre 21 a 30 anos,2021-12-01,2021-12-07,2021-12-28,2021-12-11,GLO,Gol Linhas Aéreas,Má qualidade no atendimento presencial ou outros canais (exceto SAC),Catálogo,Finalizada não avaliada,Não Avaliada,0
106,N,PA,Belém,M,entre 41 a 50 anos,2021-10-01,2021-10-07,2021-10-28,2021-10-11,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada não avaliada,Não Avaliada,0
107,CO,DF,Brasília,F,entre 21 a 30 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,IPM,Itapemirim Transportes Aéreos,SAC - Dificuldade para cancelar o serviço,Internet,Finalizada não avaliada,Não Avaliada,0
108,CO,MS,Campo Grande,M,entre 31 a 40 anos,2021-12-01,2021-12-07,2021-12-23,2021-12-11,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada avaliada,Resolvida,5
109,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,X10,Copa Airlines,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
110,S,RS,Pelotas,F,entre 41 a 50 anos,2021-10-01,2021-10-07,2021-10-07,2021-10-11,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,2
111,CO,DF,Brasília,M,entre 31 a 40 anos,2021-10-01,2021-10-07,2021-10-28,2021-10-11,TAM,Latam Airlines (Tam),"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,Finalizada não avaliada,Não Avaliada,0
112,NE,MA,Timon,F,entre 31 a 40 anos,2021-12-01,2021-12-10,2021-12-28,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Loja física,Finalizada avaliada,Não Resolvida,1
113,CO,DF,Brasília,F,entre 41 a 50 anos,2021-12-01,2021-12-10,2021-12-31,2021-12-11,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
114,S,RS,São Borja,M,entre 31 a 40 anos,2021-12-01,2021-12-10,2021-12-13,2021-12-11,X14,Iberia Lineas Aereas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada avaliada,Não Resolvida,1
