id,regiao,uf_regiao,cidade,sexo,faixa_etaria,data_abertura,data_resposta,data_finalizacao,prazo_resposta,sigla,nome_fantasia,problema,local_compra,situacao,avaliacao_reclamacao,nota_consumidor
836,CO,DF,Brasília,M,entre 31 a 40 anos,2021-12-07,2021-12-15,2022-01-05,2021-12-17,IPM,Itapemirim Transportes Aéreos,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
837,NE,RN,Natal,M,entre 31 a 40 anos,2021-10-04,2021-10-06,2021-10-24,2021-10-14,X19,TAP Air Portugal,SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Não Resolvida,1
838,N,PA,Belém,M,entre 31 a 40 anos,2021-12-07,2021-12-09,2021-12-30,2021-12-17,TAM,Latam Airlines (Tam),Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
839,NE,PI,Teresina,F,entre 51 a 60 anos,2021-10-04,2021-10-14,2021-11-04,2021-10-14,X08,Avianca - Voos internacionais,Negativa de embarque de passageiro (preterição / overbooking),Internet,Finalizada não avaliada,Não Avaliada,0
840,NE,RN,Mossoró,F,entre 31 a 40 anos,2021-12-07,2021-12-13,2022-01-03,2021-12-17,TAM,Latam Airlines (Tam),"Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito)",Internet,Finalizada não avaliada,Não Avaliada,0
841,CO,DF,Brasília,M,entre 41 a 50 anos,2021-10-04,2021-10-14,2021-11-04,2021-10-14,TAM,Latam Airlines (Tam),Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
842,NE,PI,Teresina,M,entre 21 a 30 anos,2021-12-07,2021-12-15,2022-01-05,2021-12-17,TAM,Latam Airlines (Tam),Interrupção/instabilidade do fornecimento,Internet,Finalizada não avaliada,Não Avaliada,0
843,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-07,2021-12-13,2022-01-03,2021-12-17,TAM,Latam Airlines (Tam),Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros,Não comprei / contratei,Finalizada não avaliada,Não Avaliada,0
844,CO,DF,Brasília,F,entre 31 a 40 anos,2021-12-07,2021-12-08,2021-12-08,2021-12-17,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Resolvida,5
845,NE,MA,Raposa,F,entre 41 a 50 anos,2021-10-04,2021-10-08,2021-10-29,2021-10-14,TAM,Latam Airlines (Tam),Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Loja física,Finalizada não avaliada,Não Avaliada,0
